NL input,Key Values,Cypher Query
Linda is required to transfer work to Mark no more than 4 times.,"Activity: [], EntityType: [], Actor: [""linda"", ""mark""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'linda' AND e2.Actor = 'mark' WITH COUNT(*) AS handovers RETURN handovers <= 4 AS ruleSatisfied
The work handover from John to Alice must occur at most 3 times.,"Activity: [], EntityType: [], Actor: [""john"", ""alice""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'john' AND e2.Actor = 'alice' WITH COUNT(*) AS handovers RETURN handovers <= 3 AS ruleSatisfied
It is necessary for Mike to hand over work to Emma no fewer than 7 times.,"Activity: [], EntityType: [], Actor: [""mike"", ""emma""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'mike' AND e2.Actor = 'emma' WITH COUNT(*) AS handovers RETURN handovers >= 7 AS ruleSatisfied
It is required that an event performed by David is directly followed by an event performed by Susan at least 5 times.,"Activity: [], EntityType: [], Actor: [""david"", ""susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'david' AND e2.Actor = 'susan' WITH COUNT(*) AS handovers RETURN handovers >= 5 AS ruleSatisfied
It is required that an action performed by Sarah must be directly succeeded by an action performed by John at most 2 times.,"Activity: [], EntityType: [], Actor: [""Sarah"", ""John""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Sarah' AND e2.Actor = 'John' WITH COUNT(*) AS handovers RETURN handovers <= 2 AS ruleSatisfied
At least 4 instances must occur where Rachel’s actions are immediately followed by Ross’s actions.,"Activity: [], EntityType: [], Actor: [""Rachel"", ""Ross""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Rachel' AND e2.Actor = 'Ross' WITH COUNT(*) AS handovers RETURN handovers >= 4 AS ruleSatisfied
Mark’s event must immediately precede Peter’s event no fewer than 3 times.,"Activity: [], EntityType: [], Actor: [""Mark"", ""Peter""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Mark' AND e2.Actor = 'Peter' WITH COUNT(*) AS handovers RETURN handovers >= 3 AS ruleSatisfied
Anna must hand over work to David at least 8 times.,"Activity: [], EntityType: [], Actor: [""Anna"", ""David""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Anna' AND e2.Actor = 'David'  WITH COUNT(*) AS handovers RETURN handovers >= 8 AS ruleSatisfied
It is required that an event performed by Peter is directly followed by an event performed by Tom at most 3 times.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Tom""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Tom' WITH COUNT(*) AS handovers RETURN handovers <= 3 AS ruleSatisfied
There are at least 5 instances where Peter hands over work to Susan.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Susan' WITH COUNT(*) AS handovers RETURN handovers >= 5 AS ruleSatisfied
There are at least 3 instances where Mark hands over work to John.,"Activity: [], EntityType: [], Actor: [""Mark"", ""John""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Mark' AND e2.Actor = 'John' WITH COUNT(*) AS handovers RETURN handovers >= 3 AS ruleSatisfied
Peter never hands over work to Susan.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Susan' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Mark is not allowed to hand over work to John.,"Activity: [], EntityType: [], Actor: [""Mark"", ""John""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Mark' AND e2.Actor = 'John' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Rachel must refrain from passing work to Ross.,"Activity: [], EntityType: [], Actor: [""Rachel"", ""Ross""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Rachel' AND e2.Actor = 'Ross' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Linda is prohibited from handing over work to Mike.,"Activity: [], EntityType: [], Actor: [""Linda"", ""Mike""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Linda' AND e2.Actor = 'Mike' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Tom must not immediately transfer work to Jerry.,"Activity: [], EntityType: [], Actor: [""Tom"", ""Jerry""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Tom' AND e2.Actor = 'Jerry' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
There should be no instances where Peter hands over work to Susan.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Susan' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
It is required that no event performed by Peter is directly followed by an event performed by Susan.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Susan' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Rachel never hands over work to Ross.,"Activity: [], EntityType: [], Actor: [""Rachel"", ""Ross""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Rachel' AND e2.Actor = 'Ross' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Tom is not allowed to hand over work to Jerry.,"Activity: [], EntityType: [], Actor: [""Tom"", ""Jerry""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Tom' AND e2.Actor = 'Jerry' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Linda must refrain from passing work to Mike.,"Activity: [], EntityType: [], Actor: [""Linda"", ""Mike""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Linda' AND e2.Actor = 'Mike' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
John is prohibited from handing over work to Alice.,"Activity: [], EntityType: [], Actor: [""John"", ""Alice""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'John' AND e2.Actor = 'Alice' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Anna must not immediately transfer work to Bob.,"Activity: [], EntityType: [], Actor: [""Anna"", ""Bob""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Anna' AND e2.Actor = 'Bob' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
There should be no instances where David hands over work to Emily.,"Activity: [], EntityType: [], Actor: [""David"", ""Emily""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'David' AND e2.Actor = 'Emily' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
It is required that no task performed by Peter is directly followed by a task performed by George.,"Activity: [], EntityType: [], Actor: [""Peter"", ""George""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'George' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
It is prohibited for Lisa to transfer work to Steve.,"Activity: [], EntityType: [], Actor: [""Lisa"", ""Steve""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Lisa' AND e2.Actor = 'Steve' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
No instances are allowed where Adam performs an event directly followed by Carol performing another event.,"Activity: [], EntityType: [], Actor: [""Adam"", ""Carol""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Adam' AND e2.Actor = 'Carol' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
It is required that no event performed by MIchael is directly followed by an event performed by Laura.,"Activity: [], EntityType: [], Actor: [""Michael"", ""Laura""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Michael' AND e2.Actor = 'Laura' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Sarah never hands over work to Victor.,"Activity: [], EntityType: [], Actor: [""Sarah"", ""Victor""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Sarah' AND e2.Actor = 'Victor' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Jack is prohibited from transferring work to Zoe.,"Activity: [], EntityType: [], Actor: [""Jack"", ""Zoe""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Jack' AND e2.Actor = 'Zoe' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
Nancy must not hand over work to Greg.,"Activity: [], EntityType: [], Actor: [""Nancy"", ""Greg""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Nancy' AND e2.Actor = 'Greg' WITH count(*) AS pairCount RETURN pairCount = 0 AS ruleSatisfied
There is no activity which Alex and Max both perform.,"Activity: [], EntityType: [], Actor: [""Alex"", ""Max""]","MATCH (e1:Event {Actor: 'Alex'}) WITH COLLECT(DISTINCT e1.Activity) AS Alex_activities MATCH (e2:Event {Actor: 'Max'}) WITH Alex_activities, COLLECT(DISTINCT e2.Activity) AS Max_activities RETURN CASE WHEN ANY(activity IN Alex_activities WHERE activity IN Max_activities) THEN false ELSE true END AS rule_satisfied"
Peter and Susan must not share any activities.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]","MATCH (e1:Event {Actor: 'Peter'}) WITH COLLECT(DISTINCT e1.Activity) AS Peter_activities MATCH (e2:Event {Actor: 'Susan'}) WITH Peter_activities, COLLECT(DISTINCT e2.Activity) AS Susan_activities RETURN CASE WHEN ANY(activity IN Peter_activities WHERE activity IN Susan_activities) THEN false ELSE true END AS rule_satisfied"
Michael and Emily’s activities must not overlap.,"Activity: [], EntityType: [], Actor: [""Michael"", ""Emily""]","MATCH (e1:Event {Actor: 'Michael'}) WITH COLLECT(DISTINCT e1.Activity) AS Michael_activities MATCH (e2:Event {Actor: 'Emily'}) WITH Michael_activities, COLLECT(DISTINCT e2.Activity) AS Emily_activities RETURN CASE WHEN ANY(activity IN Michael_activities WHERE activity IN Emily_activities) THEN false ELSE true END AS rule_satisfied"
Olivia and James should work on completely separate activities.,"Activity: [], EntityType: [], Actor: [""Olivia"", ""James""]","MATCH (e1:Event {Actor: 'Olivia'}) WITH COLLECT(DISTINCT e1.Activity) AS Olivia_activities MATCH (e2:Event {Actor: 'James'}) WITH Olivia_activities, COLLECT(DISTINCT e2.Activity) AS James_activities RETURN CASE WHEN ANY(activity IN Olivia_activities WHERE activity IN James_activities) THEN false ELSE true END AS rule_satisfied"
Sarah and David must not perform the same activities.,"Activity: [], EntityType: [], Actor: [""sarah"", ""david""]","MATCH (e1:Event {Actor: 'sarah'}) WITH COLLECT(DISTINCT e1.Activity) AS sarah_activities MATCH (e2:Event {Actor: 'david'}) WITH sarah_activities, COLLECT(DISTINCT e2.Activity) AS david_activities RETURN CASE WHEN ANY(activity IN sarah_activities WHERE activity IN david_activities) THEN false ELSE true END AS rule_satisfied"
No activity performed by Richard can be performed by Anna.,"Activity: [], EntityType: [], Actor: [""richard"", ""anna""]","MATCH (e1:Event {Actor: 'richard'}) WITH COLLECT(DISTINCT e1.Activity) AS richard_activities MATCH (e2:Event {Actor: 'anna'}) WITH richard_activities, COLLECT(DISTINCT e2.Activity) AS anna_activities RETURN CASE WHEN ANY(activity IN richard_activities WHERE activity IN anna_activities) THEN false ELSE true END AS rule_satisfied"
Ethan and Chloe must work on completely distinct tasks.,"Activity: [], EntityType: [], Actor: [""ethan"", ""chloe""]","MATCH (e1:Event {Actor: 'ethan'}) WITH COLLECT(DISTINCT e1.Activity) AS ethan_activities MATCH (e2:Event {Actor: 'chloe'}) WITH ethan_activities, COLLECT(DISTINCT e2.Activity) AS chloe_activities RETURN CASE WHEN ANY(activity IN ethan_activities WHERE activity IN chloe_activities) THEN false ELSE true END AS rule_satisfied"
William and Jessica must handle completely separate tasks.,"Activity: [], EntityType: [], Actor: [""william"", ""jessica""]","MATCH (e1:Event {Actor: 'william'}) WITH COLLECT(DISTINCT e1.Activity) AS william_activities MATCH (e2:Event {Actor: 'jessica'}) WITH william_activities, COLLECT(DISTINCT e2.Activity) AS jessica_activities RETURN CASE WHEN ANY(activity IN william_activities WHERE activity IN jessica_activities) THEN false ELSE true END AS rule_satisfied"
Ben and Sophie must perform distinct sets of activities.,"Activity: [], EntityType: [], Actor: [""ben"", ""sophie""]","MATCH (e1:Event {Actor: 'ben'}) WITH COLLECT(DISTINCT e1.Activity) AS ben_activities MATCH (e2:Event {Actor: 'sophie'}) WITH ben_activities, COLLECT(DISTINCT e2.Activity) AS sophie_activities RETURN CASE WHEN ANY(activity IN ben_activities WHERE activity IN sophie_activities) THEN false ELSE true END AS rule_satisfied"
There should be no overlap in the activities between Jack and Lily.,"Activity: [], EntityType: [], Actor: [""jack"", ""lily""]","MATCH (e1:Event {Actor: 'jack'}) WITH COLLECT(DISTINCT e1.Activity) AS jack_activities MATCH (e2:Event {Actor: 'lily'}) WITH jack_activities, COLLECT(DISTINCT e2.Activity) AS lily_activities RETURN CASE WHEN ANY(activity IN jack_activities WHERE activity IN lily_activities) THEN false ELSE true END AS rule_satisfied"
Emma and John must not perform any overlapping tasks.,"Activity: [], EntityType: [], Actor: [""emma"", ""john""]","MATCH (e1:Event {Actor: 'emma'}) WITH COLLECT(DISTINCT e1.Activity) AS emma_activities MATCH (e2:Event {Actor: 'john'}) WITH emma_activities, COLLECT(DISTINCT e2.Activity) AS john_activities RETURN CASE WHEN ANY(activity IN emma_activities WHERE activity IN john_activities) THEN false ELSE true END AS rule_satisfied"
Sophia and Liam should not work on any of the same activities.,"Activity: [], EntityType: [], Actor: [""sophia"", ""liam""]","MATCH (e1:Event {Actor: 'sophia'}) WITH COLLECT(DISTINCT e1.Activity) AS sophia_activities MATCH (e2:Event {Actor: 'liam'}) WITH sophia_activities, COLLECT(DISTINCT e2.Activity) AS liam_activities RETURN CASE WHEN ANY(activity IN sophia_activities WHERE activity IN liam_activities) THEN false ELSE true END AS rule_satisfied"
Aiden and Mia should never perform the same activity.,"Activity: [], EntityType: [], Actor: [""aiden"", ""mia""]","MATCH (e1:Event {Actor: 'aiden'}) WITH COLLECT(DISTINCT e1.Activity) AS aiden_activities MATCH (e2:Event {Actor: 'mia'}) WITH aiden_activities, COLLECT(DISTINCT e2.Activity) AS mia_activities RETURN CASE WHEN ANY(activity IN aiden_activities WHERE activity IN mia_activities) THEN false ELSE true END AS rule_satisfied"
Ben and Chloe must perform completely different activities.,"Activity: [], EntityType: [], Actor: [""Ben"", ""Chloe""]","MATCH (e1:Event {Actor: 'Ben'}) WITH COLLECT(DISTINCT e1.Activity) AS Ben_activities MATCH (e2:Event {Actor: 'Chloe'}) WITH Ben_activities, COLLECT(DISTINCT e2.Activity) AS Chloe_activities RETURN CASE WHEN ANY(activity IN Ben_activities WHERE activity IN Chloe_activities) THEN false ELSE true END AS rule_satisfied"
Harry and Lily must not share any activities.,"Activity: [], EntityType: [], Actor: [""Harry"", ""Lily""]","MATCH (e1:Event {Actor: 'Harry'}) WITH COLLECT(DISTINCT e1.Activity) AS Harry_activities MATCH (e2:Event {Actor: 'Lily'}) WITH Harry_activities, COLLECT(DISTINCT e2.Activity) AS Lily_activities RETURN CASE WHEN ANY(activity IN Harry_activities WHERE activity IN Lily_activities) THEN false ELSE true END AS rule_satisfied"
Noah and Grace should work on distinct sets of activities.,"Activity: [], EntityType: [], Actor: [""Noah"", ""Grace""]","MATCH (e1:Event {Actor: 'Noah'}) WITH COLLECT(DISTINCT e1.Activity) AS Noah_activities MATCH (e2:Event {Actor: 'Grace'}) WITH Noah_activities, COLLECT(DISTINCT e2.Activity) AS Grace_activities RETURN CASE WHEN ANY(activity IN Noah_activities WHERE activity IN Grace_activities) THEN false ELSE true END AS rule_satisfied"
Olivia and Jack must handle entirely separate tasks.,"Activity: [], EntityType: [], Actor: [""Olivia"", ""Jack""]","MATCH (e1:Event {Actor: 'Olivia'}) WITH COLLECT(DISTINCT e1.Activity) AS Olivia_activities MATCH (e2:Event {Actor: 'Jack'}) WITH Olivia_activities, COLLECT(DISTINCT e2.Activity) AS Jack_activities RETURN CASE WHEN ANY(activity IN Olivia_activities WHERE activity IN Jack_activities) THEN false ELSE true END AS rule_satisfied"
James and Lily must not share any activities.,"Activity: [], EntityType: [], Actor: [""James"", ""Lily""]","MATCH (e1:Event {Actor: 'James'}) WITH COLLECT(DISTINCT e1.Activity) AS James_activities MATCH (e2:Event {Actor: 'Lily'}) WITH James_activities, COLLECT(DISTINCT e2.Activity) AS Lily_activities RETURN CASE WHEN ANY(activity IN James_activities WHERE activity IN Lily_activities) THEN false ELSE true END AS rule_satisfied"
Samuel and Rachel should not have any common activities.,"Activity: [], EntityType: [], Actor: [""Samuel"", ""Rachel""]","MATCH (e1:Event {Actor: 'Samuel'}) WITH COLLECT(DISTINCT e1.Activity) AS Samuel_activities MATCH (e2:Event {Actor: 'Rachel'}) WITH Samuel_activities, COLLECT(DISTINCT e2.Activity) AS Rachel_activities RETURN CASE WHEN ANY(activity IN Samuel_activities WHERE activity IN Rachel_activities) THEN false ELSE true END AS rule_satisfied"
